head,relation,tail
location_2319_3112,produces,solar_energy
location_3890_4734,hasSolarPotential,251.0
location_7259_854,hasSolarPotential,255.0
location_8736_249,hasSolarPotential,255.0
location_4292_7795,produces,solar_energy
location_722_3672,produces,solar_energy
location_13468_6454,produces,solar_energy
location_10601_4269,hasSolarPotential,255.0
location_558_1934,hasSolarPotential,255.0
location_8815_7676,hasSolarPotential,243.0
location_5586_3108,hasSolarPotential,255.0
location_10105_2226,produces,solar_energy
location_8998_9128,produces,solar_energy
location_4077_7994,hasSolarPotential,255.0
location_4334_7753,hasSolarPotential,255.0
location_10847_2759,produces,solar_energy
location_13920_679,produces,solar_energy
location_6443_6104,produces,solar_energy
location_9330_558,hasSolarPotential,255.0
location_7042_903,hasSolarPotential,255.0
location_9614_4529,hasSolarPotential,255.0
location_1135_2434,hasSolarPotential,255.0
location_9200_3115,produces,solar_energy
location_6730_8829,produces,solar_energy
location_10657_1108,hasSolarPotential,255.0
location_9171_2349,hasSolarPotential,255.0
location_1181_9412,produces,solar_energy
location_4180_5653,hasSolarPotential,250.0
location_12685_1416,hasSolarPotential,255.0
location_7672_8099,hasSolarPotential,224.0
location_673_9285,produces,solar_energy
location_489_2613,hasSolarPotential,255.0
location_4737_535,hasSolarPotential,255.0
location_7081_19,hasSolarPotential,255.0
location_14105_8951,produces,solar_energy
location_7734_3527,produces,solar_energy
location_9936_5481,produces,solar_energy
location_2636_2554,hasSolarPotential,255.0
location_7510_5364,hasSolarPotential,255.0
location_9554_633,produces,solar_energy
location_9236_6841,hasSolarPotential,255.0
location_3124_632,hasSolarPotential,245.0
location_3669_1492,hasSolarPotential,255.0
location_12135_912,hasSolarPotential,255.0
location_4323_3892,produces,solar_energy
location_11969_5217,hasSolarPotential,242.0
location_6903_6270,produces,solar_energy
location_4627_6691,produces,solar_energy
location_1255_860,produces,solar_energy
location_6433_5154,hasSolarPotential,255.0
location_14140_8057,hasSolarPotential,255.0
location_10145_3161,hasSolarPotential,255.0
location_9632_1435,hasSolarPotential,255.0
location_7488_6947,produces,solar_energy
location_6417_1952,produces,solar_energy
location_4970_7465,produces,solar_energy
location_5038_2610,hasSolarPotential,255.0
location_3795_7559,produces,solar_energy
location_10210_8832,hasSolarPotential,255.0
location_1486_2724,hasSolarPotential,255.0
location_9179_7176,hasSolarPotential,255.0
location_6040_4132,produces,solar_energy
location_8854_2995,produces,solar_energy
location_3661_6658,produces,solar_energy
location_5791_3063,hasSolarPotential,255.0
location_9658_2101,produces,solar_energy
location_7719_2206,hasSolarPotential,255.0
location_2367_6622,produces,solar_energy
location_9323_8056,hasSolarPotential,253.0
location_3727_7217,produces,solar_energy
location_1452_2973,hasSolarPotential,246.0
location_13417_7441,produces,solar_energy
location_13452_8844,produces,solar_energy
location_4649_4377,produces,solar_energy
location_2829_777,produces,solar_energy
location_1819_4852,hasSolarPotential,201.0
location_2230_2306,hasSolarPotential,255.0
location_527_7409,produces,solar_energy
location_11081_76,produces,solar_energy
location_11060_6954,hasSolarPotential,226.0
location_11411_2305,hasSolarPotential,255.0
location_673_7705,produces,solar_energy
location_11362_947,produces,solar_energy
location_2132_9171,hasSolarPotential,255.0
location_8218_1763,hasSolarPotential,255.0
location_2151_2964,hasSolarPotential,255.0
location_13949_5856,produces,solar_energy
location_11975_8182,produces,solar_energy
location_7879_7104,hasSolarPotential,255.0
location_1883_2140,hasSolarPotential,255.0
location_12873_9391,produces,solar_energy
location_4071_2945,hasSolarPotential,255.0
location_9334_1244,produces,solar_energy
location_12670_7283,hasSolarPotential,255.0
location_9699_3545,produces,solar_energy
location_9767_6772,hasSolarPotential,255.0
location_7643_8498,produces,solar_energy
location_11133_223,hasSolarPotential,255.0
location_358_3446,hasSolarPotential,255.0
location_5618_6945,hasSolarPotential,255.0
location_12138_8399,produces,solar_energy
location_3333_9186,produces,solar_energy
location_11251_1438,hasSolarPotential,255.0
location_11154_8962,hasSolarPotential,255.0
location_11797_3081,hasSolarPotential,255.0
location_3673_6965,hasSolarPotential,255.0
location_8360_8021,produces,solar_energy
location_2429_2026,produces,solar_energy
location_2658_2269,produces,solar_energy
location_4021_6268,produces,solar_energy
location_6905_7968,produces,solar_energy
location_9608_7613,hasSolarPotential,242.0
location_5267_2906,hasSolarPotential,255.0
location_8054_4109,hasSolarPotential,255.0
location_3351_3833,hasSolarPotential,255.0
location_6416_5865,produces,solar_energy
location_5074_2323,produces,solar_energy
location_12614_2962,hasSolarPotential,255.0
location_13171_7901,hasSolarPotential,255.0
location_7977_8833,hasSolarPotential,255.0
location_13586_6764,produces,solar_energy
location_11087_8427,hasSolarPotential,255.0
location_11726_7476,produces,solar_energy
location_1990_888,produces,solar_energy
location_7250_4253,hasSolarPotential,255.0
location_7094_5839,hasSolarPotential,255.0
location_5099_265,hasSolarPotential,255.0
location_13417_7441,hasSolarPotential,255.0
location_3282_5722,hasSolarPotential,218.0
location_11274_5396,hasSolarPotential,255.0
location_5600_6403,produces,solar_energy
location_4989_8420,hasSolarPotential,255.0
location_9240_3639,produces,solar_energy
location_143_3041,hasSolarPotential,255.0
location_8222_7964,produces,solar_energy
location_991_4035,hasSolarPotential,255.0
location_9265_892,produces,solar_energy
location_10176_7348,produces,solar_energy
location_7852_8200,produces,solar_energy
location_12846_3507,hasSolarPotential,255.0
location_6900_885,produces,solar_energy
location_4237_7808,produces,solar_energy
location_6355_2288,produces,solar_energy
location_2982_7329,hasSolarPotential,255.0
location_9802_2080,produces,solar_energy
location_10373_8862,produces,solar_energy
location_5724_7032,hasSolarPotential,255.0
location_1650_2485,hasSolarPotential,255.0
location_136_7996,produces,solar_energy
location_11099_2003,produces,solar_energy
location_770_4125,hasSolarPotential,255.0
location_9639_174,produces,solar_energy
location_1067_286,produces,solar_energy
location_2414_3533,produces,solar_energy
location_1027_2306,hasSolarPotential,255.0
location_5506_2002,produces,solar_energy
location_5860_3541,hasSolarPotential,255.0
location_13656_3777,hasSolarPotential,255.0
location_9714_510,produces,solar_energy
location_4743_3020,produces,solar_energy
location_9430_6385,produces,solar_energy
location_2193_4170,produces,solar_energy
location_1408_4940,produces,solar_energy
location_4059_8776,hasSolarPotential,255.0
location_10336_8838,produces,solar_energy
location_11774_8574,hasSolarPotential,255.0
location_9934_5382,produces,solar_energy
location_2322_887,produces,solar_energy
location_8369_5706,produces,solar_energy
location_9743_6328,hasSolarPotential,255.0
location_2142_1743,hasSolarPotential,206.0
location_12385_3227,hasSolarPotential,255.0
location_7228_6043,hasSolarPotential,255.0
location_6476_7108,hasSolarPotential,250.0
location_12948_5231,produces,solar_energy
location_8954_1074,hasSolarPotential,255.0
location_6943_4715,produces,solar_energy
location_3696_3851,hasSolarPotential,255.0
location_416_3750,hasSolarPotential,255.0
location_5633_3847,hasSolarPotential,255.0
location_8169_5250,produces,solar_energy
location_2805_2922,produces,solar_energy
location_13192_9126,hasSolarPotential,255.0
location_2862_8020,hasSolarPotential,255.0
location_177_1985,hasSolarPotential,255.0
location_8771_8387,produces,solar_energy
location_12769_8125,hasSolarPotential,255.0
location_3014_6329,hasSolarPotential,215.0
location_4642_609,hasSolarPotential,255.0
location_12140_7113,produces,solar_energy
location_1055_4312,hasSolarPotential,255.0
location_6617_4213,hasSolarPotential,255.0
location_3331_4036,hasSolarPotential,255.0
location_13135_4894,hasSolarPotential,255.0
location_2486_5093,produces,solar_energy
location_2790_8806,hasSolarPotential,255.0
location_13741_326,produces,solar_energy
location_4527_8317,hasSolarPotential,255.0
location_8026_5580,produces,solar_energy
location_8234_5176,hasSolarPotential,255.0
location_12006_5670,produces,solar_energy
location_5991_4586,produces,solar_energy
location_3921_7090,produces,solar_energy
location_7607_7299,produces,solar_energy
location_11981_2417,produces,solar_energy
location_11497_1513,hasSolarPotential,255.0
location_8944_7600,produces,solar_energy
location_12573_7678,hasSolarPotential,255.0
location_4269_3702,produces,solar_energy
location_10785_3615,produces,solar_energy
location_1394_4545,produces,solar_energy
location_12856_314,hasSolarPotential,255.0
location_12333_1472,produces,solar_energy
location_7000_1886,produces,solar_energy
location_9886_1503,hasSolarPotential,255.0
location_1403_89,hasSolarPotential,255.0
location_1664_9017,produces,solar_energy
location_3682_4482,produces,solar_energy
location_1060_1312,hasSolarPotential,255.0
location_5132_7212,produces,solar_energy
location_11405_1030,produces,solar_energy
location_3114_8145,produces,solar_energy
location_13529_1785,produces,solar_energy
location_4046_9421,produces,solar_energy
location_13573_7010,produces,solar_energy
location_641_2752,produces,solar_energy
location_10424_2032,hasSolarPotential,255.0
location_11197_9189,hasSolarPotential,255.0
location_3786_7783,hasSolarPotential,255.0
location_13197_377,hasSolarPotential,255.0
location_1361_9072,produces,solar_energy
location_12218_5139,hasSolarPotential,255.0
location_3165_1179,hasSolarPotential,245.0
location_6981_5749,hasSolarPotential,255.0
location_4494_6953,produces,solar_energy
location_3608_105,produces,solar_energy
location_4946_2097,produces,solar_energy
location_7505_197,produces,solar_energy
location_4774_4037,hasSolarPotential,255.0
location_13568_3052,produces,solar_energy
location_5940_2683,hasSolarPotential,255.0
location_174_4273,hasSolarPotential,255.0
location_2000_474,produces,solar_energy
location_9119_6289,produces,solar_energy
location_9667_4443,produces,solar_energy
location_1948_969,produces,solar_energy
location_10655_4368,hasSolarPotential,255.0
location_649_8649,produces,solar_energy
location_13911_2984,hasSolarPotential,255.0
location_8123_8330,produces,solar_energy
location_9751_3903,produces,solar_energy
location_5753_1222,hasSolarPotential,255.0
location_12622_6079,hasSolarPotential,242.0
location_3511_1897,produces,solar_energy
location_5945_7563,produces,solar_energy
location_9874_6828,hasSolarPotential,255.0
location_6209_9336,hasSolarPotential,255.0
location_10318_2316,hasSolarPotential,255.0
location_11635_6900,produces,solar_energy
location_7840_2560,produces,solar_energy
location_1395_2625,produces,solar_energy
location_1194_6014,produces,solar_energy
location_12619_2491,hasSolarPotential,255.0
location_5307_4724,produces,solar_energy
location_11330_9051,hasSolarPotential,255.0
location_1405_1305,hasSolarPotential,255.0
location_6097_4120,hasSolarPotential,255.0
location_11917_8744,hasSolarPotential,255.0
location_6969_6140,hasSolarPotential,255.0
location_6519_1967,hasSolarPotential,255.0
location_8818_6185,hasSolarPotential,255.0
location_7165_5239,produces,solar_energy
location_6743_6772,hasSolarPotential,255.0
location_4110_3918,hasSolarPotential,255.0
location_3414_8951,hasSolarPotential,255.0
location_1147_1596,produces,solar_energy
location_4587_1398,hasSolarPotential,255.0
location_9677_8439,hasSolarPotential,250.0
location_6397_1493,produces,solar_energy
location_10265_6343,produces,solar_energy
location_106_2779,produces,solar_energy
location_13897_5432,hasSolarPotential,255.0
location_12615_4395,hasSolarPotential,255.0
location_2384_7678,hasSolarPotential,255.0
location_8143_44,hasSolarPotential,255.0
location_10628_3708,produces,solar_energy
location_2433_8818,produces,solar_energy
location_3676_4935,produces,solar_energy
location_12547_1211,produces,solar_energy
location_3183_3207,hasSolarPotential,255.0
location_6811_5570,hasSolarPotential,255.0
location_10122_3713,hasSolarPotential,255.0
location_8205_9254,hasSolarPotential,255.0
location_13109_2808,hasSolarPotential,255.0
location_2712_9388,hasSolarPotential,255.0
location_2066_8989,produces,solar_energy
location_2573_4382,hasSolarPotential,247.0
location_7646_2879,produces,solar_energy
location_9448_4745,hasSolarPotential,255.0
location_7993_9241,produces,solar_energy
location_3913_1095,hasSolarPotential,255.0
location_271_2094,hasSolarPotential,255.0
location_1847_5356,hasSolarPotential,224.0
location_10160_163,produces,solar_energy
location_8308_7655,hasSolarPotential,229.0
location_8455_4830,hasSolarPotential,255.0
location_13292_1921,produces,solar_energy
location_8015_2747,hasSolarPotential,255.0
location_8387_694,produces,solar_energy
location_5717_243,produces,solar_energy
location_1981_4181,hasSolarPotential,250.0
location_11670_6706,produces,solar_energy
location_3109_1320,hasSolarPotential,206.0
location_8637_2707,produces,solar_energy
location_9001_1108,produces,solar_energy
location_9774_4409,hasSolarPotential,255.0
location_5373_6256,hasSolarPotential,238.0
location_11429_5361,produces,solar_energy
location_10846_83,hasSolarPotential,255.0
location_10636_4151,hasSolarPotential,255.0
location_8826_7732,produces,solar_energy
location_12687_7794,produces,solar_energy
location_2290_4569,hasSolarPotential,207.0
location_1403_89,produces,solar_energy
location_7701_249,hasSolarPotential,255.0
location_5826_2694,produces,solar_energy
location_7501_3632,produces,solar_energy
location_9811_9339,hasSolarPotential,255.0
location_4690_3189,hasSolarPotential,255.0
location_1541_8817,produces,solar_energy
location_5478_7388,produces,solar_energy
location_6629_8602,produces,solar_energy
location_315_8898,produces,solar_energy
location_2824_4662,produces,solar_energy
location_8054_9428,produces,solar_energy
location_7918_2906,hasSolarPotential,255.0
location_7064_6429,produces,solar_energy
location_2457_2963,hasSolarPotential,255.0
location_6141_2750,hasSolarPotential,255.0
location_13468_325,produces,solar_energy
location_4741_6511,produces,solar_energy
location_6218_7359,produces,solar_energy
location_1704_5117,hasSolarPotential,165.0
location_5112_3148,hasSolarPotential,255.0
location_2206_3923,hasSolarPotential,201.0
location_11649_210,produces,solar_energy
location_3070_4662,hasSolarPotential,255.0
location_9057_7854,hasSolarPotential,229.0
location_9296_8257,produces,solar_energy
location_3549_3952,hasSolarPotential,255.0
location_5392_6316,hasSolarPotential,250.0
location_4578_4002,hasSolarPotential,255.0
location_6120_6364,hasSolarPotential,255.0
location_8617_1905,hasSolarPotential,255.0
location_13041_1652,hasSolarPotential,255.0
location_1073_5103,hasSolarPotential,152.0
location_5227_2013,produces,solar_energy
location_5219_1698,produces,solar_energy
location_4123_2782,produces,solar_energy
location_13444_1081,hasSolarPotential,255.0
location_4934_6802,produces,solar_energy
location_7834_4477,hasSolarPotential,255.0
location_6470_4461,produces,solar_energy
location_5825_4331,produces,solar_energy
location_1719_9440,produces,solar_energy
location_8518_2801,produces,solar_energy
location_5824_2137,hasSolarPotential,255.0
location_9265_3551,hasSolarPotential,255.0
location_4862_547,produces,solar_energy
location_9286_9110,hasSolarPotential,255.0
location_8851_4202,produces,solar_energy
location_7571_8815,produces,solar_energy
location_6785_4951,hasSolarPotential,255.0
location_7089_6612,hasSolarPotential,255.0
location_2156_1393,produces,solar_energy
location_9523_6685,hasSolarPotential,255.0
location_12431_125,hasSolarPotential,255.0
location_8695_6221,hasSolarPotential,255.0
location_8891_4389,produces,solar_energy
location_9863_1249,hasSolarPotential,255.0
location_13149_9085,produces,solar_energy
location_1754_6917,hasSolarPotential,255.0
location_9047_7233,hasSolarPotential,255.0
location_8200_1174,produces,solar_energy
location_2805_2828,produces,solar_energy
location_13892_6244,produces,solar_energy
location_9050_41,produces,solar_energy
location_3168_7814,hasSolarPotential,255.0
location_6847_381,produces,solar_energy
location_1034_2752,hasSolarPotential,255.0
location_13919_1795,produces,solar_energy
location_7756_5268,produces,solar_energy
location_11574_2777,hasSolarPotential,255.0
location_12601_9121,produces,solar_energy
location_7340_9445,hasSolarPotential,255.0
location_14001_6023,produces,solar_energy
location_2274_757,produces,solar_energy
location_8205_8333,produces,solar_energy
location_5826_2694,hasSolarPotential,255.0
location_6090_3697,hasSolarPotential,255.0
location_5403_3617,hasSolarPotential,255.0
location_12995_4222,produces,solar_energy
location_6735_3176,hasSolarPotential,255.0
location_4842_6949,produces,solar_energy
location_8320_5037,hasSolarPotential,255.0
location_3580_6151,hasSolarPotential,255.0
location_7879_6463,hasSolarPotential,255.0
location_1625_8777,hasSolarPotential,255.0
location_6864_4139,hasSolarPotential,255.0
location_7331_1080,hasSolarPotential,255.0
location_3608_7846,produces,solar_energy
location_8240_8789,produces,solar_energy
location_2088_4292,hasSolarPotential,250.0
location_7244_1035,hasSolarPotential,255.0
location_1405_1305,produces,solar_energy
location_9103_6321,hasSolarPotential,255.0
location_11814_1108,hasSolarPotential,255.0
location_13750_5740,produces,solar_energy
location_9382_4325,hasSolarPotential,255.0
location_7806_8048,produces,solar_energy
location_1480_301,produces,solar_energy
location_4889_7863,produces,solar_energy
location_1149_8076,hasSolarPotential,255.0
location_7321_8245,produces,solar_energy
location_5239_6468,hasSolarPotential,255.0
location_2637_1462,produces,solar_energy
location_8536_7574,hasSolarPotential,242.0
location_11146_2140,hasSolarPotential,255.0
location_8614_4299,produces,solar_energy
location_5534_8877,hasSolarPotential,255.0
location_4897_2593,produces,solar_energy
location_13504_7912,produces,solar_energy
location_9912_368,hasSolarPotential,255.0
location_7848_9057,hasSolarPotential,255.0
location_1951_6472,produces,solar_energy
location_5166_6239,hasSolarPotential,217.0
location_9835_3081,produces,solar_energy
location_7730_3831,hasSolarPotential,255.0
location_5651_4308,hasSolarPotential,255.0
location_3589_3406,produces,solar_energy
location_1074_5505,hasSolarPotential,164.0
location_7596_6343,hasSolarPotential,255.0
location_3384_2463,hasSolarPotential,255.0
location_89_5257,produces,solar_energy
location_2694_526,produces,solar_energy
location_2881_865,hasSolarPotential,206.0
location_7345_1003,produces,solar_energy
location_14113_3629,produces,solar_energy
location_12072_1297,produces,solar_energy
location_5625_8254,produces,solar_energy
location_7982_8840,hasSolarPotential,255.0
location_4857_5379,produces,solar_energy
location_9116_78,produces,solar_energy
location_11353_1959,produces,solar_energy
location_13394_1958,produces,solar_energy
location_9992_1855,hasSolarPotential,255.0
location_8337_9098,produces,solar_energy
location_3294_7700,hasSolarPotential,255.0
location_13671_3318,hasSolarPotential,255.0
location_9800_6659,produces,solar_energy
location_2037_3296,produces,solar_energy
location_6740_1589,produces,solar_energy
location_3990_1520,produces,solar_energy
location_1966_6206,hasSolarPotential,179.0
location_5146_1937,produces,solar_energy
location_9379_7752,hasSolarPotential,242.0
location_11350_3057,produces,solar_energy
location_7597_4726,hasSolarPotential,255.0
location_484_950,hasSolarPotential,255.0
location_11834_3122,produces,solar_energy
location_13583_2547,hasSolarPotential,255.0
location_4252_3254,hasSolarPotential,255.0
location_9817_3715,hasSolarPotential,255.0
location_355_1792,produces,solar_energy
location_6039_8189,produces,solar_energy
location_11814_1108,produces,solar_energy
location_4485_9297,produces,solar_energy
location_8431_8382,produces,solar_energy
location_13256_6884,produces,solar_energy
location_8638_7973,produces,solar_energy
location_11829_376,hasSolarPotential,255.0
location_8626_5446,produces,solar_energy
location_4636_2567,produces,solar_energy
location_10431_6407,produces,solar_energy
location_4088_4571,produces,solar_energy
location_4703_4040,hasSolarPotential,255.0
location_12374_5217,produces,solar_energy
location_11822_9202,hasSolarPotential,255.0
location_11455_5002,produces,solar_energy
location_22_2186,produces,solar_energy
location_3717_9432,produces,solar_energy
location_9430_7735,hasSolarPotential,243.0
location_3532_864,hasSolarPotential,255.0
location_7738_3309,produces,solar_energy
location_11270_3155,produces,solar_energy
location_9036_1591,hasSolarPotential,255.0
location_4934_3275,produces,solar_energy
location_9500_4314,produces,solar_energy
location_12298_8788,hasSolarPotential,255.0
location_2228_5701,produces,solar_energy
location_11391_7277,produces,solar_energy
location_10850_5353,hasSolarPotential,255.0
location_816_4306,produces,solar_energy
location_9369_403,hasSolarPotential,255.0
location_8016_873,hasSolarPotential,255.0
location_7084_6937,produces,solar_energy
location_10887_6638,hasSolarPotential,64.0
location_13036_2346,hasSolarPotential,255.0
location_3097_6347,hasSolarPotential,250.0
location_3040_2599,hasSolarPotential,204.0
location_3707_5670,produces,solar_energy
location_6069_5539,produces,solar_energy
location_12435_2817,produces,solar_energy
location_8219_3705,produces,solar_energy
location_6300_5389,hasSolarPotential,255.0
location_4305_8511,produces,solar_energy
location_11471_4209,hasSolarPotential,255.0
location_8785_2359,produces,solar_energy
location_3967_2242,hasSolarPotential,255.0
location_3079_6376,hasSolarPotential,250.0
location_1722_9404,hasSolarPotential,255.0
location_526_6834,produces,solar_energy
location_1102_8647,produces,solar_energy
location_6152_43,produces,solar_energy
location_9898_1391,hasSolarPotential,255.0
location_3636_4251,hasSolarPotential,255.0
location_3031_4643,hasSolarPotential,255.0
location_7875_1585,hasSolarPotential,255.0
location_101_8187,hasSolarPotential,255.0
location_7163_7312,hasSolarPotential,223.0
location_221_2419,produces,solar_energy
location_461_8297,hasSolarPotential,255.0
location_5732_5013,hasSolarPotential,255.0
location_1298_8692,hasSolarPotential,255.0
location_1760_181,produces,solar_energy
location_10882_696,hasSolarPotential,255.0
location_4427_8841,produces,solar_energy
location_1859_3679,produces,solar_energy
location_9979_7717,produces,solar_energy
location_2927_1964,hasSolarPotential,245.0
location_3511_3199,hasSolarPotential,255.0
location_9589_3520,hasSolarPotential,255.0
location_2204_7616,produces,solar_energy
location_12225_8997,hasSolarPotential,255.0
location_7165_5560,produces,solar_energy
location_5538_4950,produces,solar_energy
location_7661_3040,produces,solar_energy
location_5639_8020,produces,solar_energy
location_11952_7877,hasSolarPotential,255.0
location_13320_7026,produces,solar_energy
location_3181_8721,produces,solar_energy
location_13292_3835,produces,solar_energy
location_6771_4964,produces,solar_energy
location_10170_5023,produces,solar_energy
location_10242_7429,produces,solar_energy
location_13286_401,produces,solar_energy
location_10185_2592,produces,solar_energy
location_1005_7136,hasSolarPotential,255.0
location_880_1143,produces,solar_energy
location_2883_2610,produces,solar_energy
location_6797_8854,hasSolarPotential,255.0
location_10881_3581,hasSolarPotential,255.0
location_3646_462,produces,solar_energy
location_7890_3747,produces,solar_energy
location_10835_4820,produces,solar_energy
location_3381_1976,produces,solar_energy
location_6034_8336,hasSolarPotential,255.0
location_532_5038,hasSolarPotential,255.0
location_3132_7715,produces,solar_energy
location_12852_4749,hasSolarPotential,255.0
location_1805_5847,produces,solar_energy
location_7940_5722,produces,solar_energy
location_5420_3022,hasSolarPotential,255.0
location_806_1059,produces,solar_energy
location_1910_8001,hasSolarPotential,255.0
location_9137_8098,hasSolarPotential,242.0
location_3470_1988,produces,solar_energy
location_8045_2443,hasSolarPotential,255.0
location_13606_2151,hasSolarPotential,255.0
location_1705_6698,produces,solar_energy
location_4916_6984,hasSolarPotential,255.0
location_7296_6512,produces,solar_energy
location_4957_6880,produces,solar_energy
location_7147_7078,hasSolarPotential,222.0
location_11702_3073,produces,solar_energy
location_6801_5817,produces,solar_energy
location_5622_3603,hasSolarPotential,255.0
location_1294_2203,hasSolarPotential,255.0
location_12824_4282,hasSolarPotential,255.0
location_1676_2375,produces,solar_energy
location_2343_5540,hasSolarPotential,215.0
location_1841_3652,hasSolarPotential,251.0
location_8298_8091,hasSolarPotential,252.0
location_11556_4432,produces,solar_energy
location_2040_127,produces,solar_energy
location_4024_5428,hasSolarPotential,247.0
location_5480_2530,produces,solar_energy
location_5256_5434,hasSolarPotential,255.0
location_5108_5055,produces,solar_energy
location_4339_3183,hasSolarPotential,255.0
location_6563_1790,produces,solar_energy
location_4757_7858,hasSolarPotential,255.0
location_9518_6763,hasSolarPotential,255.0
location_3203_6346,produces,solar_energy
location_2231_4776,hasSolarPotential,251.0
location_7362_3813,produces,solar_energy
location_10565_4409,hasSolarPotential,255.0
location_11023_155,hasSolarPotential,255.0
location_13356_8301,produces,solar_energy
location_3169_6785,produces,solar_energy
location_2279_202,hasSolarPotential,255.0
location_3149_5730,produces,solar_energy
location_12594_5982,produces,solar_energy
location_9726_4949,produces,solar_energy
location_7245_8748,hasSolarPotential,255.0
location_65_9009,hasSolarPotential,255.0
location_8454_6830,hasSolarPotential,255.0
location_10604_3319,produces,solar_energy
location_4795_8868,hasSolarPotential,255.0
location_4228_2369,produces,solar_energy
location_5913_3232,produces,solar_energy
location_3445_8102,hasSolarPotential,255.0
location_9500_4944,produces,solar_energy
location_10983_634,hasSolarPotential,255.0
location_3950_6560,hasSolarPotential,255.0
location_3451_8160,hasSolarPotential,255.0
location_7097_965,hasSolarPotential,255.0
location_3759_281,produces,solar_energy
location_7843_5434,produces,solar_energy
location_3484_6921,hasSolarPotential,255.0
location_9053_2020,produces,solar_energy
location_547_5063,produces,solar_energy
location_9988_2780,produces,solar_energy
location_13983_9351,produces,solar_energy
location_8298_4908,produces,solar_energy
location_8026_5580,hasSolarPotential,255.0
location_13084_1984,hasSolarPotential,255.0
location_165_5858,hasSolarPotential,255.0
location_13845_5436,hasSolarPotential,255.0
location_4937_4479,hasSolarPotential,255.0
location_9673_7466,hasSolarPotential,228.0
location_6297_9417,hasSolarPotential,255.0
location_12383_7714,hasSolarPotential,255.0
location_11878_2006,produces,solar_energy
location_2921_533,produces,solar_energy
location_13800_1440,produces,solar_energy
location_1630_4824,produces,solar_energy
location_9430_7735,produces,solar_energy
location_6120_1992,hasSolarPotential,255.0
location_7557_2969,produces,solar_energy
location_6757_8956,hasSolarPotential,255.0
location_11837_7541,produces,solar_energy
location_12290_7621,produces,solar_energy
location_6415_5377,produces,solar_energy
location_11051_8322,hasSolarPotential,135.0
location_1200_3157,hasSolarPotential,195.0
location_12632_2318,produces,solar_energy
location_11252_7651,produces,solar_energy
location_4726_7192,produces,solar_energy
location_1128_1091,hasSolarPotential,240.0
location_11315_2295,produces,solar_energy
location_11013_4442,produces,solar_energy
location_285_5855,produces,solar_energy
location_13132_9111,produces,solar_energy
location_5100_604,produces,solar_energy
location_8038_3232,produces,solar_energy
location_11882_773,hasSolarPotential,255.0
location_4885_6683,hasSolarPotential,255.0
location_9194_4160,hasSolarPotential,255.0
location_2821_7822,produces,solar_energy
location_14110_1065,produces,solar_energy
location_10457_5778,produces,solar_energy
location_525_7577,hasSolarPotential,255.0
location_10571_6384,hasSolarPotential,227.0
location_8054_365,produces,solar_energy
location_8460_3914,hasSolarPotential,255.0
location_3525_3466,hasSolarPotential,255.0
location_4628_5690,hasSolarPotential,250.0
location_13506_1551,produces,solar_energy
location_13340_4126,produces,solar_energy
location_7704_3815,produces,solar_energy
location_8784_4645,hasSolarPotential,255.0
location_5181_9217,hasSolarPotential,255.0
location_11749_3822,produces,solar_energy
location_6977_8621,produces,solar_energy
location_4494_4908,hasSolarPotential,255.0
location_10655_6579,produces,solar_energy
location_1545_1609,hasSolarPotential,255.0
location_1964_7738,hasSolarPotential,255.0
location_9382_6163,hasSolarPotential,255.0
location_13574_8567,produces,solar_energy
location_101_8187,produces,solar_energy
location_7340_2582,hasSolarPotential,255.0
location_3634_8522,hasSolarPotential,255.0
location_11692_171,produces,solar_energy
location_1656_4434,produces,solar_energy
location_2250_1577,hasSolarPotential,206.0
location_7288_1063,hasSolarPotential,255.0
location_5226_9066,hasSolarPotential,255.0
location_5416_8525,hasSolarPotential,255.0
location_8655_4979,hasSolarPotential,255.0
location_3696_3851,produces,solar_energy
location_3956_9165,produces,solar_energy
location_5602_1856,produces,solar_energy
location_5896_1260,produces,solar_energy
location_7542_8897,hasSolarPotential,255.0
location_7444_3247,produces,solar_energy
location_10030_1189,produces,solar_energy
location_4159_85,hasSolarPotential,255.0
location_9750_200,produces,solar_energy
location_5318_7778,hasSolarPotential,255.0
location_4418_6418,hasSolarPotential,255.0
location_2133_2475,hasSolarPotential,255.0
location_11025_5332,hasSolarPotential,255.0
location_2426_6087,hasSolarPotential,215.0
location_327_7460,produces,solar_energy
location_3439_2632,produces,solar_energy
location_13474_3357,produces,solar_energy
location_4559_3979,hasSolarPotential,255.0
location_6845_6738,hasSolarPotential,255.0
location_8822_870,produces,solar_energy
location_3743_7711,hasSolarPotential,255.0
location_2624_6030,hasSolarPotential,215.0
location_2998_1829,produces,solar_energy
location_722_1769,hasSolarPotential,255.0
location_5209_4258,hasSolarPotential,255.0
location_11777_8028,hasSolarPotential,255.0
location_4264_1927,produces,solar_energy
location_9226_3032,produces,solar_energy
location_5420_798,produces,solar_energy
location_10127_8054,hasSolarPotential,239.0
location_9147_6549,produces,solar_energy
location_11859_9061,produces,solar_energy
location_3815_3186,produces,solar_energy
location_1524_4448,produces,solar_energy
location_6327_3029,produces,solar_energy
location_12589_284,hasSolarPotential,255.0
location_6996_2369,produces,solar_energy
location_6971_1647,produces,solar_energy
location_11081_76,hasSolarPotential,255.0
location_10605_5959,hasSolarPotential,255.0
location_1486_8935,produces,solar_energy
location_1240_476,hasSolarPotential,255.0
